council_short,FMP_FEP,stock,common_name,sci_name,type,p_star,abc_buffer,acl_buffer,act_buffer,notes,ref
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Cardinal snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,queen snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Gray snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,lane snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,mutton snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,dog snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,schoolmaster,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,mahogany snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Snappers,Yellowtail snapper,,constant catch,NA,0,0.15,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,Blackbar soldierfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,bigeye,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,longspine squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Squirrelfish,squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,Blackbar soldierfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,bigeye,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,longspine squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Squirrelfish,squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,Blackbar soldierfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,bigeye,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,longspine squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,St. Croix-Squirrelfish,squirrelfish,,constant catch,NA,0,0.1,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,Blue tang,,constant catch,NA,0,0.25,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,ocean surgeonfish,,constant catch,NA,0,0.25,0,,
CFMC,Caribbean Reef Fish FMP,Puerto Rico-Surgeonfish,doctorfish,,constant catch,NA,0,0.25,0,,
CFMC,Caribbean Reef Fish FMP,St. Thomas and St. John-Surgeonfish,Blue tang,,constant catch,NA,0,0.25,0,,
