"fmc","fmp","sst_c","biomass","emsy","limit_type","catch","u","sst_label"
"PFMC","Sardine",16,1340000,0.2251248,"ABC",243178.752224188,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1350000,0.2251248,"ABC",244993.519031832,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1360000,0.2251248,"ABC",246808.285839475,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1370000,0.2251248,"ABC",248623.052647118,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1380000,0.2251248,"ABC",250437.819454761,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1390000,0.2251248,"ABC",252252.586262404,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1400000,0.2251248,"ABC",254067.353070048,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1410000,0.2251248,"ABC",255882.119877691,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1420000,0.2251248,"ABC",257696.886685334,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1430000,0.2251248,"ABC",259511.653492977,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1440000,0.2251248,"ABC",261326.42030062,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1450000,0.2251248,"ABC",263141.187108264,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1460000,0.2251248,"ABC",264955.953915907,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1470000,0.2251248,"ABC",266770.72072355,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1480000,0.2251248,"ABC",268585.487531193,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1490000,0.2251248,"ABC",270400.254338836,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1500000,0.2251248,"ABC",272215.02114648,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1510000,0.2251248,"ABC",274029.787954123,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1520000,0.2251248,"ABC",275844.554761766,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1530000,0.2251248,"ABC",277659.321569409,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1540000,0.2251248,"ABC",279474.088377052,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1550000,0.2251248,"ABC",281288.855184696,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1560000,0.2251248,"ABC",283103.621992339,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1570000,0.2251248,"ABC",284918.388799982,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1580000,0.2251248,"ABC",286733.155607625,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1590000,0.2251248,"ABC",288547.922415268,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1600000,0.2251248,"ABC",290362.689222912,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1610000,0.2251248,"ABC",292177.456030555,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1620000,0.2251248,"ABC",293992.222838198,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1630000,0.2251248,"ABC",295806.989645841,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1640000,0.2251248,"ABC",297621.756453484,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1650000,0.2251248,"ABC",299436.523261128,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1660000,0.2251248,"ABC",301251.290068771,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1670000,0.2251248,"ABC",303066.056876414,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1680000,0.2251248,"ABC",304880.823684057,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1690000,0.2251248,"ABC",306695.5904917,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1700000,0.2251248,"ABC",308510.357299344,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1710000,0.2251248,"ABC",310325.124106987,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1720000,0.2251248,"ABC",312139.89091463,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1730000,0.2251248,"ABC",313954.657722273,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1740000,0.2251248,"ABC",315769.424529916,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1750000,0.2251248,"ABC",317584.19133756,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1760000,0.2251248,"ABC",319398.958145203,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1770000,0.2251248,"ABC",321213.724952846,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1780000,0.2251248,"ABC",323028.491760489,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1790000,0.2251248,"ABC",324843.258568132,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1800000,0.2251248,"ABC",326658.025375776,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1810000,0.2251248,"ABC",328472.792183419,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1820000,0.2251248,"ABC",330287.558991062,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1830000,0.2251248,"ABC",332102.325798705,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1840000,0.2251248,"ABC",333917.092606348,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1850000,0.2251248,"ABC",335731.859413992,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1860000,0.2251248,"ABC",337546.626221635,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1870000,0.2251248,"ABC",339361.393029278,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1880000,0.2251248,"ABC",341176.159836921,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1890000,0.2251248,"ABC",342990.926644564,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1900000,0.2251248,"ABC",344805.693452207,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1910000,0.2251248,"ABC",346620.460259851,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1920000,0.2251248,"ABC",348435.227067494,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1930000,0.2251248,"ABC",350249.993875137,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1940000,0.2251248,"ABC",352064.76068278,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1950000,0.2251248,"ABC",353879.527490423,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1960000,0.2251248,"ABC",355694.294298067,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1970000,0.2251248,"ABC",357509.06110571,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1980000,0.2251248,"ABC",359323.827913353,0.208593885936,"16.0°C"
"PFMC","Sardine",16,1990000,0.2251248,"ABC",361138.594720996,0.208593885936,"16.0°C"
"PFMC","Sardine",16,2e+06,0.2251248,"ABC",362953.36152864,0.208593885936,"16.0°C"
"PFMC","Sardine",16,2010000,0.2251248,"ABC",364768.128336283,0.208593885936,"16.0°C"
"PFMC","Sardine",16,2020000,0.2251248,"ABC",366582.895143926,0.208593885936,"16.0°C"
"PFMC","Sardine",16,2030000,0.2251248,"ABC",368397.661951569,0.208593885936,"16.0°C"
